dsds.py:25,20:12:52:start:18:8tAM3A -- start
get_file:25,20:13:00:loadFiles:276:8tAM3A -- Start loadFiles, 527e4afc-4598-400f-8536-afa5324f0ba4 root
requests:25,20:13:00:__call__:117:8tAM3A -- Making request: POST https://oauth2.googleapis.com/token
connecti:25,20:13:00:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): oauth2.googleapis.com
connecti:25,20:13:01:_make_request:393:8tAM3A -- https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
selector:25,20:13:01:__init__:59:8tAM3A -- Using selector: EpollSelector
test_uti:25,20:13:01:print_size:84:8tAM3A -- 

---------------Memory usage: 93116 (kb)---------------0 mins since start
test_uti:25,20:13:01:print_size:90:8tAM3A -- /usr/lib/python3.8/tracemalloc.py:397: size=512 B (+512 B), count=3 (+3), average=171 B
test_uti:25,20:13:01:print_size:90:8tAM3A -- /usr/lib/python3.8/tracemalloc.py:534: size=472 B (+472 B), count=2 (+2), average=236 B
test_uti:25,20:13:01:print_size:90:8tAM3A -- /home/henry/pydocs/processing/datutils/test_utils.py:84: size=448 B (+448 B), count=1 (+1), average=448 B
test_uti:25,20:13:01:print_size:90:8tAM3A -- /home/henry/pydocs/processing/datutils/test_utils.py:88: size=424 B (+424 B), count=1 (+1), average=424 B
test_uti:25,20:13:01:print_size:90:8tAM3A -- /home/henry/pydocs/processing/datutils/test_utils.py:82: size=0 B (-424 B), count=0 (-1)
test_uti:25,20:13:01:print_size:92:8tAM3A -- ------------------------------------------------------------
test_uti:25,20:13:01:print_size:95:8tAM3A -- /usr/lib/python3.8/tracemalloc.py:397: size=512 B, count=3, average=171 B
test_uti:25,20:13:01:print_size:95:8tAM3A -- /usr/lib/python3.8/tracemalloc.py:534: size=472 B, count=2, average=236 B
test_uti:25,20:13:01:print_size:95:8tAM3A -- /home/henry/pydocs/processing/datutils/test_utils.py:84: size=448 B, count=1, average=448 B
test_uti:25,20:13:01:print_size:95:8tAM3A -- /home/henry/pydocs/processing/datutils/test_utils.py:88: size=424 B, count=1, average=424 B
