dsds.py:25,20:15:53:start:18:br5GSQ -- start
get_file:25,20:15:58:loadFiles:278:br5GSQ -- Start loadFiles, 527e4afc-4598-400f-8536-afa5324f0ba4 root
requests:25,20:15:58:__call__:117:br5GSQ -- Making request: POST https://oauth2.googleapis.com/token
connecti:25,20:15:58:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): oauth2.googleapis.com
connecti:25,20:15:58:_make_request:393:br5GSQ -- https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
selector:25,20:15:58:__init__:59:br5GSQ -- Using selector: EpollSelector
test_uti:25,20:15:58:print_size:84:br5GSQ -- 

---------------Memory usage: 90556 (kb)---------------0 mins since start
test_uti:25,20:15:58:print_size:104:br5GSQ -- /home/henry/pydocs/data/527e4afc-4598-400f-8536-afa5324f0ba4/
0/0 discovered items at 2020-04-25 20:15:58.526467
dump count: 0
get_file:25,20:15:58:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:15:58:getRevision:164:br5GSQ -- getRevision looping
test_uti:25,20:15:58:tryGetQueue:241:br5GSQ -- getRevisionwaiting 1 5
get_file:25,20:15:58:getRevision:164:br5GSQ -- getRevision looping
test_uti:25,20:15:58:tryGetQueue:241:br5GSQ -- getRevisionwaiting 1 5
get_file:25,20:15:59:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:15:59:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:00:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:00:async_init:26:br5GSQ -- async init called
get_file:25,20:16:00:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:00:get_last_revision:55:br5GSQ -- last revision id 1784
gdoc.py:25,20:16:00:async_init:35:br5GSQ -- after await 1784
connecti:25,20:16:00:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:00:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:00:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:00:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:01:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1cGlmEaWYTHdD_Y3vlkIMMkZhdmosSZo_rQYxcSBoDbQ/revisions/load?id=1cGlmEaWYTHdD_Y3vlkIMMkZhdmosSZo_rQYxcSBoDbQ&start=1&end=1784 HTTP/1.1" 200 None
get_file:25,20:16:01:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:01:async_init:26:br5GSQ -- async init called
get_file:25,20:16:01:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:01:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:01:async_init:26:br5GSQ -- async init called
gdoc.py:25,20:16:01:get_last_revision:45:br5GSQ -- code not 200
gdoc.py:25,20:16:01:get_last_revision:55:br5GSQ -- last revision id 14
gdoc.py:25,20:16:01:async_init:35:br5GSQ -- after await 14
connecti:25,20:16:01:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:01:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:01:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:01:getRevision:180:br5GSQ -- not google doc
connecti:25,20:16:02:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1VJe9pAq5wUkMz1cgNAOYLtvRbDehNWGZLwq4vtX3QVQ/revisions/load?id=1VJe9pAq5wUkMz1cgNAOYLtvRbDehNWGZLwq4vtX3QVQ&start=1&end=14 HTTP/1.1" 200 None
get_file:25,20:16:02:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:02:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:02:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:02:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:02:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:02:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:02:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:02:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:03:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:03:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:03:async_init:26:br5GSQ -- async init called
get_file:25,20:16:03:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:03:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:03:get_last_revision:55:br5GSQ -- last revision id 546
gdoc.py:25,20:16:03:async_init:35:br5GSQ -- after await 546
connecti:25,20:16:03:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:04:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:04:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1NpTHMCkLa6lHL9Ok8a9hejyXihpujcQpVgSa7JNBP6s/revisions/load?id=1NpTHMCkLa6lHL9Ok8a9hejyXihpujcQpVgSa7JNBP6s&start=1&end=546 HTTP/1.1" 200 None
get_file:25,20:16:04:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:04:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:04:async_init:26:br5GSQ -- async init called
gdoc.py:25,20:16:05:async_init:26:br5GSQ -- async init called
get_file:25,20:16:05:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:05:get_last_revision:55:br5GSQ -- last revision id 2502
gdoc.py:25,20:16:05:async_init:35:br5GSQ -- after await 2502
connecti:25,20:16:05:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:16:05:get_last_revision:55:br5GSQ -- last revision id 647
gdoc.py:25,20:16:05:async_init:35:br5GSQ -- after await 647
connecti:25,20:16:05:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:05:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:05:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:05:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:05:async_init:26:br5GSQ -- async init called
connecti:25,20:16:05:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1JEcM-IFEodRvDg7EE9AntQ4wwOBTRXcDFqRK5SR2I08/revisions/load?id=1JEcM-IFEodRvDg7EE9AntQ4wwOBTRXcDFqRK5SR2I08&start=1&end=2502 HTTP/1.1" 200 None
get_file:25,20:16:05:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:06:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1LcO1aZmE6Jap4GF5ZpBGetjUSFeVBYg__DgWYlDwWY4/revisions/load?id=1LcO1aZmE6Jap4GF5ZpBGetjUSFeVBYg__DgWYlDwWY4&start=1&end=647 HTTP/1.1" 200 None
gdoc.py:25,20:16:06:get_last_revision:55:br5GSQ -- last revision id 3059
gdoc.py:25,20:16:06:async_init:35:br5GSQ -- after await 3059
connecti:25,20:16:06:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:06:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:06:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:06:getRevision:180:br5GSQ -- not google doc
connecti:25,20:16:06:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1C09g5-ATBpXNJOmH8ANwCnq7Pk6vClzI1lmFYcqaH6A/revisions/load?id=1C09g5-ATBpXNJOmH8ANwCnq7Pk6vClzI1lmFYcqaH6A&start=1&end=3059 HTTP/1.1" 200 None
get_file:25,20:16:06:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:06:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:06:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:06:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:06:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:06:getRevision:180:br5GSQ -- not google doc
