dsds.py:26,13:09:47:start:18:q3Xr7Q -- start
get_file:26,13:09:50:loadFiles:276:q3Xr7Q -- Start loadFiles, 527e4afc-4598-400f-8536-afa5324f0ba4 root
requests:26,13:09:50:__call__:117:q3Xr7Q -- Making request: POST https://oauth2.googleapis.com/token
connecti:26,13:09:50:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): oauth2.googleapis.com
connecti:26,13:09:51:_make_request:393:q3Xr7Q -- https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
selector:26,13:09:51:__init__:59:q3Xr7Q -- Using selector: EpollSelector
test_uti:26,13:09:51:print_size:86:q3Xr7Q -- 

---------------Memory usage: 89948 (kb)---------------0 mins since start
test_uti:26,13:09:51:print_size:105:q3Xr7Q -- /home/henry/pydocs/data/527e4afc-4598-400f-8536-afa5324f0ba4/
0/0 discovered items at 2020-04-26 13:09:51.035052
dump count: 0
get_file:26,13:09:51:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:51:getRevision:167:q3Xr7Q -- getRevision looping
test_uti:26,13:09:51:tryGetQueue:241:q3Xr7Q -- getRevisionwaiting 1 5
get_file:26,13:09:52:getRevision:167:q3Xr7Q -- getRevision looping
test_uti:26,13:09:52:tryGetQueue:241:q3Xr7Q -- getRevisionwaiting 1 5
get_file:26,13:09:53:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:53:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:09:53:async_init:30:q3Xr7Q -- async init called
get_file:26,13:09:54:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:09:54:get_last_revision:61:q3Xr7Q -- last revision id 1784
gdoc.py:26,13:09:54:async_init:39:q3Xr7Q -- after await 1784
connecti:26,13:09:54:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:09:55:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:09:55:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1cGlmEaWYTHdD_Y3vlkIMMkZhdmosSZo_rQYxcSBoDbQ/revisions/load?id=1cGlmEaWYTHdD_Y3vlkIMMkZhdmosSZo_rQYxcSBoDbQ&start=1&end=1784 HTTP/1.1" 200 None
get_file:26,13:09:55:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:56:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:56:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:57:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:09:57:async_init:30:q3Xr7Q -- async init called
get_file:26,13:09:57:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:09:57:getRevision:178:q3Xr7Q -- not google doc
get_file:26,13:09:57:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:09:57:getRevision:178:q3Xr7Q -- not google doc
gdoc.py:26,13:09:57:get_last_revision:61:q3Xr7Q -- last revision id 14
gdoc.py:26,13:09:57:async_init:39:q3Xr7Q -- after await 14
connecti:26,13:09:57:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:09:57:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:58:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:09:58:getRevision:178:q3Xr7Q -- not google doc
get_file:26,13:09:58:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:09:58:getRevision:178:q3Xr7Q -- not google doc
connecti:26,13:09:58:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1VJe9pAq5wUkMz1cgNAOYLtvRbDehNWGZLwq4vtX3QVQ/revisions/load?id=1VJe9pAq5wUkMz1cgNAOYLtvRbDehNWGZLwq4vtX3QVQ&start=1&end=14 HTTP/1.1" 200 None
get_file:26,13:09:58:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:58:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:09:58:async_init:30:q3Xr7Q -- async init called
get_file:26,13:09:58:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:59:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:09:59:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:09:59:get_last_revision:61:q3Xr7Q -- last revision id 546
gdoc.py:26,13:09:59:async_init:39:q3Xr7Q -- after await 546
connecti:26,13:09:59:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:09:59:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:09:59:async_init:30:q3Xr7Q -- async init called
connecti:26,13:10:00:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1NpTHMCkLa6lHL9Ok8a9hejyXihpujcQpVgSa7JNBP6s/revisions/load?id=1NpTHMCkLa6lHL9Ok8a9hejyXihpujcQpVgSa7JNBP6s&start=1&end=546 HTTP/1.1" 200 None
gdoc.py:26,13:10:00:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:00:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:00:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:00:async_init:30:q3Xr7Q -- async init called
gdoc.py:26,13:10:00:get_last_revision:61:q3Xr7Q -- last revision id 647
gdoc.py:26,13:10:00:async_init:39:q3Xr7Q -- after await 647
connecti:26,13:10:00:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:01:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:01:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:01:getRevision:178:q3Xr7Q -- not google doc
connecti:26,13:10:01:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1LcO1aZmE6Jap4GF5ZpBGetjUSFeVBYg__DgWYlDwWY4/revisions/load?id=1LcO1aZmE6Jap4GF5ZpBGetjUSFeVBYg__DgWYlDwWY4&start=1&end=647 HTTP/1.1" 200 None
get_file:26,13:10:01:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:01:get_last_revision:61:q3Xr7Q -- last revision id 2502
gdoc.py:26,13:10:01:async_init:39:q3Xr7Q -- after await 2502
get_file:26,13:10:01:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:01:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
connecti:26,13:10:02:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1JEcM-IFEodRvDg7EE9AntQ4wwOBTRXcDFqRK5SR2I08/revisions/load?id=1JEcM-IFEodRvDg7EE9AntQ4wwOBTRXcDFqRK5SR2I08&start=1&end=2502 HTTP/1.1" 200 None
get_file:26,13:10:02:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:02:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:02:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:02:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:02:get_last_revision:61:q3Xr7Q -- last revision id 3059
gdoc.py:26,13:10:02:async_init:39:q3Xr7Q -- after await 3059
connecti:26,13:10:02:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:26,13:10:03:get_last_revision:61:q3Xr7Q -- last revision id 626
gdoc.py:26,13:10:03:async_init:39:q3Xr7Q -- after await 626
connecti:26,13:10:03:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
connecti:26,13:10:03:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1C09g5-ATBpXNJOmH8ANwCnq7Pk6vClzI1lmFYcqaH6A/revisions/load?id=1C09g5-ATBpXNJOmH8ANwCnq7Pk6vClzI1lmFYcqaH6A&start=1&end=3059 HTTP/1.1" 200 None
connecti:26,13:10:03:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1jRrZTHn-oge2sTqxli8Um026xuniXAeezLZn4B2zVSg/revisions/load?id=1jRrZTHn-oge2sTqxli8Um026xuniXAeezLZn4B2zVSg&start=1&end=626 HTTP/1.1" 200 None
get_file:26,13:10:03:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:04:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:04:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:04:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:04:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:04:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:05:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:05:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:05:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:05:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:05:getRevision:178:q3Xr7Q -- not google doc
gdoc.py:26,13:10:05:get_last_revision:61:q3Xr7Q -- last revision id 1
gdoc.py:26,13:10:05:async_init:39:q3Xr7Q -- after await 1
connecti:26,13:10:05:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:05:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:05:get_last_revision:61:q3Xr7Q -- last revision id 3
gdoc.py:26,13:10:05:async_init:39:q3Xr7Q -- after await 3
connecti:26,13:10:05:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:05:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
