import time: self [us] | cumulative | imported package
import time:       728 |        728 | _frozen_importlib_external
import time:       147 |        147 |   time
import time:       385 |        531 | zipimport
import time:        95 |         95 |     _codecs
import time:       691 |        786 |   codecs
import time:       968 |        968 |   encodings.aliases
import time:      5381 |       7134 | encodings
import time:       524 |        524 | encodings.utf_8
import time:       490 |        490 | _signal
import time:       651 |        651 | encodings.latin_1
import time:        67 |         67 |     _abc
import time:       362 |        428 |   abc
import time:       402 |        830 | io
import time:       132 |        132 |       _stat
import time:       416 |        547 |     stat
import time:      1563 |       1563 |     _collections_abc
import time:       215 |        215 |       genericpath
import time:       296 |        511 |     posixpath
import time:       855 |       3474 |   os
import time:       256 |        256 |   _sitebuiltins
import time:       122 |        122 |     _locale
import time:       290 |        411 |   _bootlocale
import time:       374 |        374 |         types
import time:       529 |        529 |         warnings
import time:       266 |       1168 |       importlib
import time:       206 |        206 |       importlib.machinery
import time:       831 |       2204 |     importlib.abc
import time:       120 |        120 |             _operator
import time:       415 |        535 |           operator
import time:       182 |        182 |           keyword
import time:       112 |        112 |             _heapq
import time:       269 |        380 |           heapq
import time:       253 |        253 |           itertools
import time:       422 |        422 |           reprlib
import time:      1544 |       1544 |           _collections
import time:      1727 |       5040 |         collections
import time:       147 |        147 |           _functools
import time:      1454 |       1601 |         functools
import time:       909 |       7549 |       contextlib
import time:       386 |       7934 |     importlib.util
import time:       321 |        321 |       _weakrefset
import time:       901 |       1221 |     threading
import time:      1332 |      12691 |   _virtualenv
import time:       196 |        196 |   sitecustomize
import time:      9931 |      26958 | site
import time:      1071 |       1071 |           enum
import time:       221 |        221 |             _sre
import time:       453 |        453 |               sre_constants
import time:       547 |        999 |             sre_parse
import time:       443 |       1662 |           sre_compile
import time:       249 |        249 |           copyreg
import time:       740 |       3721 |         re
import time:       163 |        163 |           _string
import time:      1145 |       1308 |         string
import time:       231 |        231 |           collections.abc
import time:       278 |        509 |         markupsafe._compat
import time:       249 |        249 |         markupsafe._speedups
import time:       852 |       6638 |       markupsafe
import time:       114 |        114 |         errno
import time:       271 |        271 |         fnmatch
import time:       142 |        142 |             zlib
import time:       410 |        410 |               _compression
import time:       885 |        885 |               _bz2
import time:       432 |       1726 |             bz2
import time:       598 |        598 |               _lzma
import time:       583 |       1181 |             lzma
import time:       100 |        100 |             pwd
import time:       131 |        131 |             grp
import time:      1203 |       4481 |           shutil
import time:       176 |        176 |             math
import time:        73 |         73 |               _bisect
import time:       405 |        478 |             bisect
import time:        64 |         64 |             _sha512
import time:        66 |         66 |             _random
import time:       860 |       1642 |           random
import time:       616 |        616 |           weakref
import time:       737 |       7475 |         tempfile
import time:       910 |        910 |           _hashlib
import time:       220 |        220 |           _blake2
import time:       104 |        104 |           _sha3
import time:       373 |       1605 |         hashlib
import time:       105 |        105 |               _struct
import time:       228 |        332 |             struct
import time:       464 |        464 |             _compat_pickle
import time:       158 |        158 |             _pickle
import time:       110 |        110 |                 org
import time:        28 |        137 |               org.python
import time:        27 |        164 |             org.python.core
import time:      1539 |       2655 |           pickle
import time:       214 |        214 |             urllib
import time:      1638 |       1852 |           urllib.parse
import time:       335 |       4841 |         jinja2._compat
import time:       256 |        256 |                 _json
import time:       655 |        911 |               json.scanner
import time:       678 |       1588 |             json.decoder
import time:       721 |        721 |             json.encoder
import time:       432 |       2740 |           json
import time:      1481 |       4220 |         jinja2.utils
import time:       544 |      19067 |       jinja2.bccache
import time:      1936 |       1936 |         jinja2.nodes
import time:       532 |        532 |           jinja2.exceptions
import time:       602 |        602 |             jinja2.visitor
import time:      2169 |       2770 |           jinja2.idtracking
import time:       446 |        446 |           jinja2.optimizer
import time:       379 |        379 |           __future__
import time:      1514 |       5638 |         jinja2.compiler
import time:       793 |        793 |             jinja2.runtime
import time:      1305 |       2098 |           jinja2.filters
import time:       755 |        755 |                 numbers
import time:      1386 |       2140 |               _decimal
import time:       234 |       2374 |             decimal
import time:       664 |       3037 |           jinja2.tests
import time:       346 |       5481 |         jinja2.defaults
import time:      1769 |       1769 |             _ast
import time:       728 |       2497 |           ast
import time:        96 |         96 |           unicodedata
import time:      1982 |       1982 |           jinja2._identifier
import time:      2675 |       7248 |         jinja2.lexer
import time:       491 |        491 |         jinja2.parser
import time:      1107 |      21899 |       jinja2.environment
import time:       608 |        608 |         pkgutil
import time:       654 |       1261 |       jinja2.loaders
import time:       347 |      49211 |     jinja2
import time:      1309 |       1309 |           signal
import time:       337 |        337 |             _socket
import time:       128 |        128 |               select
import time:      1294 |       1422 |             selectors
import time:      3616 |       5374 |           socket
import time:       180 |        180 |             _datetime
import time:      1442 |       1621 |           datetime
import time:       314 |        314 |           werkzeug._compat
import time:       238 |        238 |                   _opcode
import time:       412 |        649 |                 opcode
import time:       719 |       1368 |               dis
import time:       276 |        276 |                   token
import time:      1447 |       1723 |                 tokenize
import time:       258 |       1981 |               linecache
import time:      2752 |       6099 |             inspect
import time:       421 |        421 |               traceback
import time:        72 |         72 |               atexit
import time:      3133 |       3625 |             logging
import time:      1578 |      11301 |           werkzeug._internal
import time:      1672 |       1672 |                   html.entities
import time:      1366 |       3037 |                 html
import time:        62 |       3099 |               html.entities
import time:      2016 |       5114 |             werkzeug.utils
import time:      3062 |       8176 |           werkzeug.exceptions
import time:      1681 |       1681 |           werkzeug.urls
import time:       809 |        809 |           socketserver
import time:      1656 |       1656 |             http
import time:       112 |        112 |                   org
import time:        29 |        140 |                 org.python
import time:        27 |        167 |               org.python.core
import time:       320 |        486 |             copy
import time:       218 |        218 |               email
import time:      1587 |       1587 |                   locale
import time:       732 |       2319 |                 calendar
import time:       320 |       2638 |               email._parseaddr
import time:       127 |        127 |                     binascii
import time:       327 |        453 |                   base64
import time:       196 |        649 |                 email.base64mime
import time:       363 |        363 |                 email.quoprimime
import time:      1421 |       1421 |                 email.errors
import time:       236 |        236 |                   quopri
import time:       226 |        461 |                 email.encoders
import time:       368 |       3260 |               email.charset
import time:       858 |       6972 |             email.utils
import time:      1303 |       1303 |                     email.header
import time:       487 |       1789 |                   email._policybase
import time:       923 |       2712 |                 email.feedparser
import time:       328 |       3040 |               email.parser
import time:       284 |        284 |                 uu
import time:       439 |        439 |                 email._encoded_words
import time:       229 |        229 |                 email.iterators
import time:       820 |       1771 |               email.message
import time:      1510 |       1510 |                 _ssl
import time:      4574 |       6084 |               ssl
import time:      1389 |      12283 |             http.client
import time:       153 |        153 |               winreg
import time:       446 |        599 |             mimetypes
import time:      2759 |      24752 |           http.server
import time:       452 |        452 |                 shlex
import time:       833 |       1284 |               click._compat
import time:       214 |        214 |               click._unicodefun
import time:       186 |        186 |                   click.globals
import time:       374 |        560 |                 click.utils
import time:       486 |       1046 |               click.exceptions
import time:       353 |        353 |                 click.parser
import time:       647 |        647 |                   click.types
import time:       487 |       1134 |                 click.termui
import time:       376 |       1861 |               click.formatting
import time:      1069 |       5473 |             click.core
import time:       308 |        308 |             click.decorators
import time:       577 |       6357 |           click
import time:      1005 |      62695 |         werkzeug.serving
import time:       544 |        544 |             werkzeug.filesystem
import time:       310 |        310 |                   urllib.response
import time:       345 |        654 |                 urllib.error
import time:      2265 |       2919 |               urllib.request
import time:      3380 |       6298 |             werkzeug.http
import time:      5676 |      12518 |           werkzeug.datastructures
import time:       327 |        327 |             werkzeug.wrappers.accept
import time:       222 |        222 |             werkzeug.wrappers.auth
import time:       640 |        640 |                 werkzeug.wsgi
import time:       572 |       1212 |               werkzeug.formparser
import time:       469 |       1681 |             werkzeug.wrappers.base_request
import time:       430 |        430 |             werkzeug.wrappers.base_response
import time:       367 |        367 |             werkzeug.wrappers.common_descriptors
import time:       354 |        354 |             werkzeug.wrappers.etag
import time:       279 |        279 |               werkzeug.wrappers.cors
import time:     19629 |      19629 |                 werkzeug.useragents
import time:       263 |      19892 |               werkzeug.wrappers.user_agent
import time:       365 |      20536 |             werkzeug.wrappers.request
import time:       394 |        394 |             werkzeug.wrappers.response
import time:       444 |      24751 |           werkzeug.wrappers
import time:      5817 |       5817 |           http.cookiejar
import time:       896 |      43980 |         werkzeug.test
import time:       341 |     107014 |       werkzeug
import time:        27 |     107041 |     werkzeug.exceptions
import time:      3416 |       3416 |         platform
import time:       123 |        123 |           msvcrt
import time:        62 |         62 |           _posixsubprocess
import time:       966 |       1150 |         subprocess
import time:       286 |        286 |         _uuid
import time:      3429 |       8280 |       uuid
import time:       113 |        113 |           simplejson
import time:       498 |        611 |         itsdangerous._json
import time:       383 |        383 |             hmac
import time:       227 |        610 |           itsdangerous._compat
import time:       348 |        348 |           itsdangerous.exc
import time:       260 |       1218 |         itsdangerous.encoding
import time:       305 |        305 |             itsdangerous.signer
import time:       283 |        587 |           itsdangerous.serializer
import time:       349 |        935 |         itsdangerous.jws
import time:       323 |        323 |         itsdangerous.timed
import time:       275 |        275 |         itsdangerous.url_safe
import time:       442 |       3802 |       itsdangerous
import time:       335 |        335 |       flask._compat
import time:       353 |        353 |           greenlet
import time:       659 |       1012 |         werkzeug.local
import time:       280 |       1291 |       flask.globals
import time:      1038 |       1038 |       dataclasses
import time:       819 |      15563 |     flask.json
import time:      1153 |       1153 |         difflib
import time:       533 |        533 |         pprint
import time:      3605 |       5290 |       werkzeug.routing
import time:       341 |        341 |             blinker
import time:       632 |        972 |           flask.signals
import time:      1095 |       2067 |         flask.helpers
import time:       338 |        338 |         dotenv
