,0
0,2020-04-28 10:42:52.512
1,2020-04-28 10:43:32.460
2,2020-04-28 11:40:00.121
3,2020-04-28 11:41:01.950
4,2020-04-28 11:49:44.570
5,2020-04-28 11:51:03.435
6,2020-04-28 11:53:41.246
7,2020-04-28 11:56:15.713
8,2020-04-28 11:57:30.059
9,2020-04-28 12:09:38.635
10,2020-04-28 12:11:44.905
11,2020-04-28 12:13:00.229
12,2020-04-28 12:15:02.859
13,2020-04-28 12:17:04.878
14,2020-04-28 12:19:30.363
15,2020-04-28 12:31:05.298
16,2020-04-28 12:33:00.728
17,2020-04-28 12:35:01.074
18,2020-04-28 12:38:03.950
19,2020-04-28 12:39:00.949
20,2020-04-28 13:44:17.917
21,2020-04-28 13:46:13.394
22,2020-04-28 13:47:39.752
23,2020-04-28 14:33:30.452
24,2020-04-28 16:08:05.091
25,2020-04-28 16:09:00.832
26,2020-04-28 16:39:09.357
27,2020-04-28 16:46:57.083
28,2020-04-28 16:47:00.249
29,2020-04-28 17:07:37.717
30,2020-04-28 17:13:07.209
31,2020-04-28 18:08:29.872
32,2020-04-28 18:09:01.245
33,2020-04-28 18:13:21.370
34,2020-04-28 18:16:46.592
35,2020-04-28 18:17:01.984
36,2020-04-28 18:19:30.780
37,2020-04-28 18:27:13.860
38,2020-04-28 18:41:27.796
39,2020-04-28 18:49:10.764
40,2020-04-28 18:52:37.949
41,2020-04-28 21:21:36.632
42,2020-04-28 22:21:09.252
43,2020-04-29 15:14:22.811
44,2020-04-29 16:07:35.121
45,2020-04-29 16:16:53.387
46,2020-04-29 16:17:00.034
47,2020-04-29 16:55:01.951
48,2020-04-29 17:37:51.895
49,2020-04-29 18:05:52.408
50,2020-04-29 18:08:09.932
51,2020-04-29 18:09:18.143
52,2020-04-29 18:11:38.834
53,2020-04-29 18:15:04.912
54,2020-04-29 20:37:46.937
55,2020-04-29 20:39:29.484
56,2020-04-29 20:45:07.029
57,2020-04-29 20:47:35.558
58,2020-04-29 20:55:02.923
59,2020-04-29 21:27:14.008
60,2020-04-29 21:29:14.059
61,2020-04-30 08:31:23.978
62,2020-04-30 08:37:03.574
63,2020-04-30 08:41:02.318
64,2020-04-30 09:06:28.417
65,2020-04-30 09:07:00.263
66,2020-04-30 10:59:52.039
67,2020-04-30 14:16:57.907
68,2020-04-30 14:17:00.380
69,2020-04-30 14:19:00.617
70,2020-04-30 15:36:19.312
71,2020-04-30 16:34:09.522
72,2020-04-30 16:36:01.771
73,2020-05-01 08:09:47.492
